"subnum" "condtion" "blocknum" "blockonset" "blockonset_real" "timepoint_TR" "versions"
"18" "0b" 5 197421 144.004 72 "A"
"18" "2b" 6 233422 180.005 90 "A"
"18" "0b" 7 272424 219.007 110 "A"
"18" "2b" 8 313425 260.008 130 "A"
"18" "0b" 9 351426 298.009 149 "A"
"18" "2b" 10 388427 335.01 168 "A"
"18" "0b" 11 428428 375.011 188 "A"
"18" "2b" 12 469416 415.999 208 "A"
"19" "2b" 1 57739 0 1 "B"
"19" "0b" 2 96740 39.001 20 "B"
"19" "2b" 3 137741 80.002 40 "B"
"19" "0b" 4 172729 114.99 58 "B"
"19" "2b" 5 213730 155.991 78 "B"
"19" "0b" 6 249731 191.992 96 "B"
"19" "2b" 7 285732 227.993 114 "B"
"19" "0b" 8 325733 267.994 134 "B"
"19" "2b" 9 362734 304.995 153 "B"
"19" "0b" 10 402735 344.996 173 "B"
"19" "2b" 11 437736 379.997 190 "B"
"19" "0b" 12 475737 417.998 209 "B"
"20" "0b" 1 59273 0 1 "A"
"20" "2b" 2 97261 37.988 19 "A"
"20" "0b" 3 137262 77.989 39 "A"
"20" "2b" 4 178264 118.991 60 "A"
"20" "0b" 5 216265 156.992 79 "A"
"20" "2b" 6 257266 197.993 99 "A"
"20" "0b" 7 292267 232.994 117 "A"
"20" "2b" 8 329269 269.996 135 "A"
"20" "0b" 9 365270 305.997 153 "A"
"20" "2b" 10 401271 341.998 171 "A"
"20" "0b" 11 440273 381 191 "A"
"20" "2b" 12 475261 415.988 208 "A"
"21" "2b" 1 65756 0 1 "B"
"21" "0b" 2 101757 36.001 18 "B"
"21" "2b" 3 136759 71.003 36 "B"
"21" "0b" 4 176760 111.004 56 "B"
"21" "2b" 5 213761 148.005 74 "B"
"21" "0b" 6 252763 187.007 94 "B"
"21" "2b" 7 293764 228.008 114 "B"
"21" "0b" 8 331765 266.009 133 "B"
"21" "2b" 9 369754 303.998 152 "B"
"21" "0b" 10 404754 338.998 170 "B"
"21" "2b" 11 440756 375 188 "B"
"21" "0b" 12 480757 415.001 208 "B"
"22" "0b" 1 43755 0 1 "A"
"22" "2b" 2 84756 41.001 21 "A"
"22" "0b" 3 120757 77.002 39 "A"
"22" "2b" 4 161746 117.991 59 "A"
"22" "0b" 5 199747 155.992 78 "A"
"22" "2b" 6 235748 191.993 96 "A"
"22" "0b" 7 274749 230.994 116 "A"
"22" "2b" 8 312751 268.996 135 "A"
"22" "0b" 9 352752 308.997 155 "A"
"22" "2b" 10 387753 343.998 172 "A"
"22" "0b" 11 427755 384 192 "A"
"22" "2b" 12 464756 421.001 211 "A"
"23" "2b" 1 70584 0 1 "B"
"23" "0b" 2 106585 36.001 18 "B"
"23" "2b" 3 141585 71.001 36 "B"
"23" "0b" 4 180586 110.002 55 "B"
"23" "2b" 5 216587 146.003 73 "B"
"23" "0b" 6 256588 186.004 93 "B"
"23" "2b" 7 294588 224.004 112 "B"
"23" "0b" 8 329589 259.005 130 "B"
"23" "2b" 9 370590 300.006 150 "B"
"23" "0b" 10 410590 340.006 170 "B"
"23" "2b" 11 451591 381.007 191 "B"
"23" "0b" 12 489592 419.008 210 "B"
"24" "0b" 1 71193 0 1 "A"
